goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number 65648d2b,T #2,fire_team_a,manoeuvre,true,n2,n1,type_a,1,10248,25746,55486,1,3,2,Radio90s200,1,n_a
Goal number 65648d2b,T #3,fire_team_a,manoeuvre,true,n2,n4,type_b,2,7007,32816,55486,1,3,2,Radio90s200,1,n_a
Goal number 65648d2b,T #4,fire_team_a,manoeuvre,true,n2,n1,type_b,1,3593,36472,55486,1,3,2,Radio90s200,1,n_a
Goal number 65648d2b,T #5,fire_team_a,manoeuvre,true,n2,n2,type_b,1,3578,40129,55486,1,3,2,Radio90s200,1,n_a
Goal number 65648d2b,T #6,fire_team_a,manoeuvre,true,n2,n3,type_c,3,15243,55445,55486,1,3,2,Radio90s200,1,n_a
Goal number e2611981,T #1,fire_team_a,manoeuvre,true,n3,n3,type_c,3,20186,20260,107947,2,2,2,Radio90s200,1,n_a
Goal number e2611981,T #2,fire_team_a,manoeuvre,true,n3,n2,type_b,3,10279,30604,107947,2,2,2,Radio90s200,1,n_a
Goal number e2611981,T #3,fire_team_a,manoeuvre,true,n3,n1,type_a,3,30290,60945,107947,2,2,2,Radio90s200,1,n_a
Goal number e2611981,T #4,fire_team_a,manoeuvre,true,n3,n3,type_b,2,6902,67898,107947,2,2,2,Radio90s200,1,n_a
Goal number e2611981,T #5,fire_team_a,manoeuvre,true,n3,n2,type_a,1,10247,78216,107947,2,2,2,Radio90s200,1,n_a
Goal number e2611981,T #6,fire_team_a,manoeuvre,true,n3,n6,type_c,3,29634,107904,107947,2,2,2,Radio90s200,1,n_a
Goal number 29ed323e,T #1,fire_team_a,manoeuvre,true,n2,n6,type_a,2,20327,20386,93761,2,0,4,Radio90s200,1,n_a
Goal number 29ed323e,T #2,fire_team_a,manoeuvre,true,n2,n5,type_c,2,21780,42218,93761,2,0,4,Radio90s200,1,n_a
Goal number 29ed323e,T #3,fire_team_a,manoeuvre,true,n2,n2,type_c,2,10260,52611,93761,2,0,4,Radio90s200,1,n_a
Goal number 29ed323e,T #4,fire_team_a,manoeuvre,false,n2,n1,type_c,1,5317,57980,93761,2,0,4,Radio90s200,1,n_a
Goal number 29ed323e,T #5,fire_team_a,manoeuvre,false,n2,n2,type_c,3,15341,73387,93761,2,0,4,Radio90s200,1,n_a
Goal number 29ed323e,T #6,fire_team_a,manoeuvre,false,n1,n1,type_a,2,20271,93724,93761,2,0,4,Radio90s200,1,n_a
Goal number 005e1088,T #1,fire_team_a,manoeuvre,true,n3,n4,type_c,1,5247,5399,92366,1,0,5,Radio90s200,1,n_a
Goal number 005e1088,T #2,fire_team_a,manoeuvre,true,n3,n6,type_c,3,15319,20790,92366,1,0,5,Radio90s200,1,n_a
Goal number 005e1088,T #3,fire_team_a,manoeuvre,true,n3,n2,type_c,3,15242,36071,92366,1,0,5,Radio90s200,1,n_a
Goal number 005e1088,T #4,fire_team_a,manoeuvre,false,n3,n5,type_c,3,15465,51590,92366,1,0,5,Radio90s200,1,n_a
Goal number 005e1088,T #5,fire_team_a,manoeuvre,false,n1,n2,type_c,2,10289,61941,92366,1,0,5,Radio90s200,1,n_a
Goal number 005e1088,T #6,fire_team_a,manoeuvre,false,n3,n5,type_a,3,30332,92331,92366,1,0,5,Radio90s200,1,n_a
Goal number d62b9e78,T #1,fire_team_a,manoeuvre,true,n2,n5,type_a,3,32875,33027,101929,2,1,3,Radio90s200,1,n_a
Goal number d62b9e78,T #2,fire_team_a,manoeuvre,false,n2,n2,type_a,1,10288,43357,101929,2,1,3,Radio90s200,1,n_a
