goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number e596e775,T #3,fire_team_b,manoeuvre,false,n4,n4,type_c,1,11250,95214,143155,2,2,2,SwitchMode1,1,n_a
Goal number e596e775,T #4,fire_team_a,defence,false,n1,n1,type_b,3,17031,112320,143155,2,2,2,SwitchMode1,1,n_a
Goal number e596e775,T #5,fire_team_b,manoeuvre,false,n4,n4,type_a,1,20265,132735,143155,2,2,2,SwitchMode1,1,n_a
Goal number e596e775,T #6,fire_team_b,manoeuvre,false,n4,n4,type_b,3,10219,143017,143155,2,2,2,SwitchMode1,1,n_a
Goal number 530ce59d,T #1,fire_team_b,manoeuvre,false,n4,n4,type_c,2,30424,30483,116212,1,2,3,SwitchMode1,1,n_a
Goal number 530ce59d,T #2,fire_team_b,manoeuvre,false,n6,n6,type_c,2,10321,40884,116212,1,2,3,SwitchMode1,1,n_a
Goal number 530ce59d,T #3,fire_team_b,manoeuvre,false,n5,n5,type_a,2,46108,87057,116212,1,2,3,SwitchMode1,1,n_a
Goal number 530ce59d,T #4,fire_team_b,manoeuvre,false,n4,n4,type_c,1,7778,95004,116212,1,2,3,SwitchMode1,1,n_a
Goal number 530ce59d,T #5,fire_team_a,defence,false,n3,n3,type_b,1,7724,102793,116212,1,2,3,SwitchMode1,1,n_a
Goal number 530ce59d,T #6,fire_team_b,manoeuvre,false,n6,n6,type_b,2,13309,116170,116212,1,2,3,SwitchMode1,1,n_a
Goal number 944cb5a4,T #1,fire_team_a,defence,false,n1,n1,type_b,1,18534,18610,136888,3,1,2,SwitchMode1,1,n_a
Goal number 944cb5a4,T #2,fire_team_b,manoeuvre,false,n6,n6,type_c,2,13539,32213,136888,3,1,2,SwitchMode1,1,n_a
Goal number 944cb5a4,T #3,fire_team_a,defence,false,n3,n3,type_a,2,20236,52498,136888,3,1,2,SwitchMode1,1,n_a
Goal number 944cb5a4,T #4,fire_team_b,manoeuvre,false,n6,n6,type_a,3,60195,112759,136888,3,1,2,SwitchMode1,1,n_a
