goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number 29ed323e,T #2,fire_team_a,manoeuvre,false,n2,n5,type_c,2,19545,40041,97912,2,0,4,SwitchMode1,2,n_a
Goal number 29ed323e,T #3,fire_team_a,manoeuvre,false,n1,n2,type_c,2,12393,52480,97912,2,0,4,SwitchMode1,2,n_a
Goal number 29ed323e,T #4,fire_team_a,manoeuvre,false,n1,n1,type_c,1,6528,59079,97912,2,0,4,SwitchMode1,2,n_a
Goal number 29ed323e,T #5,fire_team_b,manoeuvre,false,n6,n2,type_c,3,15393,74523,97912,2,0,4,SwitchMode1,2,n_a
Goal number 29ed323e,T #6,fire_team_b,manoeuvre,false,n5,n1,type_a,2,23202,97784,97912,2,0,4,SwitchMode1,2,n_a
Goal number 005e1088,T #1,fire_team_a,manoeuvre,false,n2,n4,type_c,1,5780,5860,132523,1,0,5,SwitchMode1,2,n_a
Goal number 005e1088,T #2,fire_team_a,manoeuvre,false,n2,n6,type_c,3,15393,21317,132523,1,0,5,SwitchMode1,2,n_a
Goal number 005e1088,T #3,fire_team_a,manoeuvre,false,n3,n2,type_c,3,15299,36663,132523,1,0,5,SwitchMode1,2,n_a
Goal number 005e1088,T #4,fire_team_b,manoeuvre,false,n4,n5,type_c,3,15299,52025,132523,1,0,5,SwitchMode1,2,n_a
Goal number 005e1088,T #5,fire_team_b,manoeuvre,false,n6,n2,type_c,2,14970,67063,132523,1,0,5,SwitchMode1,2,n_a
Goal number 005e1088,T #6,fire_team_b,manoeuvre,false,n5,n5,type_a,3,65363,132477,132523,1,0,5,SwitchMode1,2,n_a
Goal number 4c293caa,T #1,fire_team_a,manoeuvre,false,n2,n5,type_c,3,15319,15392,183767,3,0,3,SwitchMode1,2,n_a
Goal number 4c293caa,T #2,fire_team_b,manoeuvre,false,n5,n3,type_a,2,20276,35721,183767,3,0,3,SwitchMode1,2,n_a
Goal number 4c293caa,T #3,fire_team_b,manoeuvre,false,n4,n2,type_c,2,17867,53639,183767,3,0,3,SwitchMode1,2,n_a
Goal number 4c293caa,T #4,fire_team_b,manoeuvre,false,n4,n1,type_c,2,60801,114507,183767,3,0,3,SwitchMode1,2,n_a
Goal number 4c293caa,T #5,fire_team_b,manoeuvre,false,n5,n2,type_a,1,25813,140373,183767,3,0,3,SwitchMode1,2,n_a
Goal number 4c293caa,T #6,fire_team_b,manoeuvre,false,n4,n6,type_a,3,43309,183725,183767,3,0,3,SwitchMode1,2,n_a
Goal number d62b9e78,T #1,fire_team_a,manoeuvre,false,n2,n5,type_a,3,30333,30400,209181,2,1,3,SwitchMode1,2,n_a
Goal number d62b9e78,T #2,fire_team_b,manoeuvre,false,n4,n2,type_a,1,15885,46336,209181,2,1,3,SwitchMode1,2,n_a
Goal number d62b9e78,T #3,fire_team_b,manoeuvre,false,n5,n3,type_c,3,27667,74127,209181,2,1,3,SwitchMode1,2,n_a
Goal number d62b9e78,T #4,fire_team_b,manoeuvre,false,n4,n6,type_c,3,82362,156562,209181,2,1,3,SwitchMode1,2,n_a
Goal number d62b9e78,T #5,fire_team_b,manoeuvre,false,n6,n6,type_b,2,34215,190838,209181,2,1,3,SwitchMode1,2,n_a
Goal number d62b9e78,T #6,fire_team_b,manoeuvre,false,n5,n4,type_c,3,18111,209126,209181,2,1,3,SwitchMode1,2,n_a
Goal number 20323ac1,T #1,fire_team_a,manoeuvre,false,n1,n4,type_a,2,20626,20716,208510,3,0,3,SwitchMode1,2,n_a
Goal number 20323ac1,T #2,fire_team_b,manoeuvre,false,n4,n2,type_c,1,6261,27048,208510,3,0,3,SwitchMode1,2,n_a
Goal number 20323ac1,T #3,fire_team_b,manoeuvre,false,n6,n6,type_a,1,19906,47012,208510,3,0,3,SwitchMode1,2,n_a
Goal number 20323ac1,T #4,fire_team_b,manoeuvre,false,n4,n4,type_a,3,41056,88145,208510,3,0,3,SwitchMode1,2,n_a
Goal number 20323ac1,T #5,fire_team_b,manoeuvre,false,n5,n3,type_c,3,36021,124226,208510,3,0,3,SwitchMode1,2,n_a
Goal number 20323ac1,T #6,fire_team_b,manoeuvre,false,n4,n2,type_c,1,84182,208448,208510,3,0,3,SwitchMode1,2,n_a
Goal number e6f3ed8c,T #1,fire_team_b,manoeuvre,false,n6,n5,type_a,3,42126,42207,195968,5,1,0,SwitchMode1,2,n_a
Goal number e6f3ed8c,T #2,fire_team_b,manoeuvre,false,n4,n6,type_a,2,34862,77130,195968,5,1,0,SwitchMode1,2,n_a
