goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number e2611981,T #6,fire_team_a,manoeuvre,false,n2,n6,type_c,3,15361,122121,122162,2,2,2,Radio30s200,1,n_a
Goal number 005e1088,T #1,fire_team_a,manoeuvre,false,n1,n4,type_c,1,5285,5345,92303,1,0,5,Radio30s200,1,n_a
Goal number 005e1088,T #2,fire_team_a,manoeuvre,false,n2,n6,type_c,3,15273,20678,92303,1,0,5,Radio30s200,1,n_a
Goal number 005e1088,T #3,fire_team_a,manoeuvre,false,n3,n2,type_c,3,15244,35979,92303,1,0,5,Radio30s200,1,n_a
Goal number 005e1088,T #4,fire_team_a,manoeuvre,false,n3,n5,type_c,3,15339,51377,92303,1,0,5,Radio30s200,1,n_a
Goal number 005e1088,T #5,fire_team_a,manoeuvre,false,n3,n2,type_c,2,10278,61699,92303,1,0,5,Radio30s200,1,n_a
Goal number 005e1088,T #6,fire_team_a,manoeuvre,false,n3,n5,type_a,3,30509,92255,92303,1,0,5,Radio30s200,1,n_a
Goal number 29ed323e,T #1,fire_team_a,manoeuvre,false,n3,n6,type_a,2,20272,20342,110986,2,0,4,Radio30s200,1,n_a
Goal number 29ed323e,T #2,fire_team_a,manoeuvre,false,n3,n5,type_c,2,10277,30675,110986,2,0,4,Radio30s200,1,n_a
Goal number 29ed323e,T #3,fire_team_a,manoeuvre,false,n3,n2,type_c,2,23920,54668,110986,2,0,4,Radio30s200,1,n_a
Goal number 29ed323e,T #4,fire_team_a,manoeuvre,false,n3,n1,type_c,1,15329,70064,110986,2,0,4,Radio30s200,1,n_a
Goal number 29ed323e,T #5,fire_team_a,manoeuvre,false,n3,n2,type_c,3,15288,85397,110986,2,0,4,Radio30s200,1,n_a
Goal number 29ed323e,T #6,fire_team_a,manoeuvre,false,n3,n1,type_a,2,25487,110940,110986,2,0,4,Radio30s200,1,n_a
Goal number d62b9e78,T #1,fire_team_a,manoeuvre,false,n1,n5,type_a,3,30306,30379,100197,2,1,3,Radio30s200,1,n_a
Goal number d62b9e78,T #2,fire_team_a,manoeuvre,false,n1,n2,type_a,1,11034,41459,100197,2,1,3,Radio30s200,1,n_a
Goal number d62b9e78,T #3,fire_team_a,manoeuvre,false,n1,n3,type_c,3,15287,56799,100197,2,1,3,Radio30s200,1,n_a
Goal number d62b9e78,T #4,fire_team_a,manoeuvre,false,n1,n6,type_c,3,16028,72886,100197,2,1,3,Radio30s200,1,n_a
Goal number d62b9e78,T #5,fire_team_a,manoeuvre,false,n1,n6,type_b,2,7027,79974,100197,2,1,3,Radio30s200,1,n_a
Goal number d62b9e78,T #6,fire_team_a,manoeuvre,false,n1,n4,type_c,3,20120,100159,100197,2,1,3,Radio30s200,1,n_a
Goal number 20323ac1,T #1,fire_team_a,manoeuvre,false,n2,n4,type_a,2,20294,20366,92034,3,0,3,Radio30s200,1,n_a
Goal number 20323ac1,T #2,fire_team_a,manoeuvre,false,n2,n2,type_c,1,5298,25707,92034,3,0,3,Radio30s200,1,n_a
Goal number 20323ac1,T #3,fire_team_a,manoeuvre,false,n2,n6,type_a,1,10280,36034,92034,3,0,3,Radio30s200,1,n_a
Goal number 20323ac1,T #4,fire_team_a,manoeuvre,false,n2,n4,type_a,3,30331,66412,92034,3,0,3,Radio30s200,1,n_a
Goal number 20323ac1,T #5,fire_team_a,manoeuvre,false,n2,n3,type_c,3,15343,81818,92034,3,0,3,Radio30s200,1,n_a
Goal number 20323ac1,T #6,fire_team_a,manoeuvre,false,n1,n2,type_c,1,10102,91985,92034,3,0,3,Radio30s200,1,n_a
Goal number 3d41497e,T #1,fire_team_a,manoeuvre,false,n3,n3,type_a,1,10373,10433,116937,3,1,2,Radio30s200,1,n_a
Goal number 3d41497e,T #2,fire_team_a,manoeuvre,false,n1,n6,type_a,3,36706,47195,116937,3,1,2,Radio30s200,1,n_a
Goal number 3d41497e,T #3,fire_team_a,manoeuvre,false,n1,n4,type_b,2,7050,54290,116937,3,1,2,Radio30s200,1,n_a
Goal number 3d41497e,T #4,fire_team_a,manoeuvre,false,n1,n6,type_c,3,19272,73617,116937,3,1,2,Radio30s200,1,n_a
Goal number 3d41497e,T #5,fire_team_a,manoeuvre,false,n1,n4,type_a,3,30392,104067,116937,3,1,2,Radio30s200,1,n_a
Goal number 3d41497e,T #6,fire_team_a,manoeuvre,false,n2,n4,type_c,2,12766,116888,116937,3,1,2,Radio30s200,1,n_a
Goal number 4c293caa,T #1,fire_team_a,manoeuvre,false,n1,n5,type_c,3,15571,15635,137711,3,0,3,Radio30s200,1,n_a
Goal number 4c293caa,T #2,fire_team_a,manoeuvre,false,n1,n3,type_a,2,31447,47149,137711,3,0,3,Radio30s200,1,n_a
Goal number 4c293caa,T #3,fire_team_a,manoeuvre,false,n1,n2,type_c,2,23389,70596,137711,3,0,3,Radio30s200,1,n_a
Goal number 4c293caa,T #4,fire_team_a,manoeuvre,false,n1,n1,type_c,2,10629,81266,137711,3,0,3,Radio30s200,1,n_a
Goal number 4c293caa,T #5,fire_team_a,manoeuvre,false,n1,n2,type_a,1,12597,93907,137711,3,0,3,Radio30s200,1,n_a
Goal number 4c293caa,T #6,fire_team_a,manoeuvre,false,n1,n6,type_a,3,43699,137662,137711,3,0,3,Radio30s200,1,n_a
Goal number f6b82573,T #1,fire_team_a,manoeuvre,false,n2,n5,type_a,1,24899,24950,151607,3,0,3,Radio30s200,1,n_a
Goal number f6b82573,T #2,fire_team_a,manoeuvre,false,n2,n3,type_a,3,55703,80705,151607,3,0,3,Radio30s200,1,n_a
Goal number f6b82573,T #3,fire_team_a,manoeuvre,false,n3,n5,type_c,3,37206,118056,151607,3,0,3,Radio30s200,1,n_a
Goal number f6b82573,T #4,fire_team_a,manoeuvre,false,n2,n5,type_a,1,12742,130874,151607,3,0,3,Radio30s200,1,n_a
Goal number f6b82573,T #5,fire_team_a,manoeuvre,false,n2,n5,type_c,1,5912,136864,151607,3,0,3,Radio30s200,1,n_a
Goal number f6b82573,T #6,fire_team_a,manoeuvre,false,n2,n2,type_c,2,14540,151456,151607,3,0,3,Radio30s200,1,n_a
Goal number e596e775,T #1,fire_team_a,manoeuvre,false,n2,n1,type_a,3,37378,37454,109904,2,2,2,Radio30s200,1,n_a
Goal number e596e775,T #2,fire_team_a,manoeuvre,false,n2,n3,type_c,2,11343,48858,109904,2,2,2,Radio30s200,1,n_a
Goal number e596e775,T #3,fire_team_a,manoeuvre,false,n2,n4,type_c,1,25195,74103,109904,2,2,2,Radio30s200,1,n_a
Goal number e596e775,T #4,fire_team_a,manoeuvre,false,n3,n1,type_b,3,11766,85935,109904,2,2,2,Radio30s200,1,n_a
Goal number e596e775,T #5,fire_team_a,manoeuvre,false,n2,n4,type_a,1,12895,98908,109904,2,2,2,Radio30s200,1,n_a
Goal number e596e775,T #6,fire_team_a,manoeuvre,false,n3,n4,type_b,3,10900,109859,109904,2,2,2,Radio30s200,1,n_a
Goal number e6f3ed8c,T #1,fire_team_a,manoeuvre,false,n3,n5,type_a,3,36781,36861,141558,5,1,0,Radio30s200,1,n_a
Goal number e6f3ed8c,T #2,fire_team_a,manoeuvre,false,n3,n6,type_a,2,21211,58137,141558,5,1,0,Radio30s200,1,n_a
Goal number e6f3ed8c,T #3,fire_team_a,manoeuvre,false,n2,n1,type_a,1,18805,76995,141558,5,1,0,Radio30s200,1,n_a
Goal number e6f3ed8c,T #4,fire_team_a,manoeuvre,false,n2,n6,type_a,1,21100,98145,141558,5,1,0,Radio30s200,1,n_a
Goal number e6f3ed8c,T #5,fire_team_a,manoeuvre,false,n1,n1,type_a,3,38772,136979,141558,5,1,0,Radio30s200,1,n_a
Goal number e6f3ed8c,T #6,fire_team_a,manoeuvre,false,n1,n2,type_b,1,4471,141503,141558,5,1,0,Radio30s200,1,n_a
Goal number f1493d1a,T #1,fire_team_a,manoeuvre,false,n3,n4,type_a,2,48885,48947,155693,2,3,1,Radio30s200,1,n_a
Goal number f1493d1a,T #2,fire_team_a,manoeuvre,false,n1,n5,type_b,3,17237,66249,155693,2,3,1,Radio30s200,1,n_a
Goal number f1493d1a,T #3,fire_team_a,manoeuvre,false,n3,n5,type_a,3,43277,109579,155693,2,3,1,Radio30s200,1,n_a
Goal number f1493d1a,T #4,fire_team_a,manoeuvre,false,n2,n5,type_c,3,20007,129650,155693,2,3,1,Radio30s200,1,n_a
Goal number f1493d1a,T #5,fire_team_a,manoeuvre,false,n3,n1,type_b,3,11912,141725,155693,2,3,1,Radio30s200,1,n_a
Goal number f1493d1a,T #6,fire_team_a,manoeuvre,false,n2,n6,type_b,3,13746,155635,155693,2,3,1,Radio30s200,1,n_a
Goal number c2246275,T #1,fire_team_a,manoeuvre,false,n3,n2,type_a,1,12490,12561,97069,2,2,2,Radio30s200,1,n_a
Goal number c2246275,T #2,fire_team_a,manoeuvre,false,n1,n1,type_c,1,6084,18709,97069,2,2,2,Radio30s200,1,n_a
Goal number c2246275,T #3,fire_team_a,manoeuvre,false,n3,n5,type_c,3,19288,38062,97069,2,2,2,Radio30s200,1,n_a
Goal number c2246275,T #4,fire_team_a,manoeuvre,false,n2,n4,type_a,1,17609,55736,97069,2,2,2,Radio30s200,1,n_a
Goal number c2246275,T #5,fire_team_a,manoeuvre,false,n2,n4,type_b,2,23286,79102,97069,2,2,2,Radio30s200,1,n_a
Goal number c2246275,T #6,fire_team_a,manoeuvre,false,n2,n1,type_b,3,17855,97020,97069,2,2,2,Radio30s200,1,n_a
Goal number 530ce59d,T #1,fire_team_a,manoeuvre,false,n3,n4,type_c,2,12966,13039,87370,1,2,3,Radio30s200,1,n_a
Goal number 530ce59d,T #2,fire_team_a,manoeuvre,false,n1,n6,type_c,2,11122,24222,87370,1,2,3,Radio30s200,1,n_a
Goal number 530ce59d,T #3,fire_team_a,manoeuvre,false,n1,n5,type_a,2,21216,45499,87370,1,2,3,Radio30s200,1,n_a
Goal number 530ce59d,T #4,fire_team_a,manoeuvre,false,n3,n4,type_c,1,13496,59076,87370,1,2,3,Radio30s200,1,n_a
Goal number 530ce59d,T #5,fire_team_a,manoeuvre,false,n2,n3,type_b,1,13825,72950,87370,1,2,3,Radio30s200,1,n_a
Goal number 530ce59d,T #6,fire_team_a,manoeuvre,false,n1,n6,type_b,2,14311,87321,87370,1,2,3,Radio30s200,1,n_a
Goal number 22e0ae54,T #1,fire_team_a,manoeuvre,false,n1,n1,type_c,3,21302,21376,122209,1,1,4,Radio30s200,1,n_a
Goal number 22e0ae54,T #2,fire_team_a,manoeuvre,false,n1,n1,type_c,2,14389,35823,122209,1,1,4,Radio30s200,1,n_a
Goal number 22e0ae54,T #3,fire_team_a,manoeuvre,false,n1,n5,type_c,1,21456,57350,122209,1,1,4,Radio30s200,1,n_a
Goal number 22e0ae54,T #4,fire_team_a,manoeuvre,false,n1,n3,type_a,3,51277,108704,122209,1,1,4,Radio30s200,1,n_a
Goal number 22e0ae54,T #5,fire_team_a,manoeuvre,false,n3,n5,type_b,2,8012,116761,122209,1,1,4,Radio30s200,1,n_a
Goal number 22e0ae54,T #6,fire_team_a,manoeuvre,false,n2,n2,type_c,1,5336,122160,122209,1,1,4,Radio30s200,1,n_a
Goal number 3bee68cb,T #1,fire_team_a,manoeuvre,false,n1,n1,type_b,2,6989,7036,142177,2,4,0,Radio30s200,1,n_a
Goal number 3bee68cb,T #2,fire_team_a,manoeuvre,false,n1,n3,type_b,1,4903,12007,142177,2,4,0,Radio30s200,1,n_a
Goal number 3bee68cb,T #3,fire_team_a,manoeuvre,false,n1,n3,type_b,2,15939,28018,142177,2,4,0,Radio30s200,1,n_a
Goal number 3bee68cb,T #4,fire_team_a,manoeuvre,false,n1,n6,type_b,2,48930,77017,142177,2,4,0,Radio30s200,1,n_a
Goal number 3bee68cb,T #5,fire_team_a,manoeuvre,false,n1,n6,type_a,1,54546,131638,142177,2,4,0,Radio30s200,1,n_a
Goal number 3bee68cb,T #6,fire_team_a,manoeuvre,false,n3,n4,type_a,1,10417,142119,142177,2,4,0,Radio30s200,1,n_a
Goal number 944cb5a4,T #1,fire_team_a,manoeuvre,false,n1,n1,type_b,1,5844,5922,109401,3,1,2,Radio30s200,1,n_a
Goal number 944cb5a4,T #2,fire_team_a,manoeuvre,false,n3,n6,type_c,2,14064,20051,109401,3,1,2,Radio30s200,1,n_a
Goal number 944cb5a4,T #3,fire_team_a,manoeuvre,false,n2,n3,type_a,2,28780,48908,109401,3,1,2,Radio30s200,1,n_a
Goal number 944cb5a4,T #4,fire_team_a,manoeuvre,false,n3,n6,type_a,3,31552,80526,109401,3,1,2,Radio30s200,1,n_a
Goal number 944cb5a4,T #5,fire_team_a,manoeuvre,false,n1,n3,type_c,2,18323,98910,109401,3,1,2,Radio30s200,1,n_a
Goal number 944cb5a4,T #6,fire_team_a,manoeuvre,false,n1,n5,type_a,1,10376,109349,109401,3,1,2,Radio30s200,1,n_a
Goal number 32d24fd7,T #1,fire_team_a,manoeuvre,false,n3,n4,type_c,2,16754,16821,127843,2,2,2,Radio30s200,1,n_a
